group,model,precision,recall,f1,roc_auc,pr_auc,balanced_accuracy
biological,logreg,0.24386788634339837,0.8523129155467535,0.37922895357985836,0.790095941220393,0.3490236696892465,0.712253510467631
biological,random_forest,0.3231507579797364,0.6000848776347433,0.42008318478906714,0.7780552805305413,0.3420128885035898,0.6983065742056511
biological,xgboost,0.3244629450680146,0.6174847927571085,0.425397134782185,0.7922564233680689,0.36808894852702423,0.7046821220295034
biological,lightgbm,0.3232658959537572,0.6329042297354647,0.4279496867377684,0.7944334905437626,0.3690414410142823,0.7092086587109091
biological,knn,0.3848839597453276,0.26510114584806904,0.31395543642151114,0.6282990522580578,0.23538958998349363,0.5982569415777089
socioeconomic,logreg,0.17847742457987448,0.7481963502617061,0.2882053238154919,0.6417610914776208,0.2196739414328333,0.5953407610653115
socioeconomic,random_forest,0.22088111044055522,0.41420285754703634,0.28811808118081184,0.630895165540625,0.2132483485061549,0.5888427895264895
socioeconomic,xgboost,0.22089777442474537,0.41420285754703634,0.2881322574296398,0.6313527237703764,0.21395415294781955,0.5888542398207621
socioeconomic,lightgbm,0.2208036049568156,0.4159004102419013,0.28846153846153844,0.6318841087807696,0.21379393343458328,0.5891534020431115
socioeconomic,knn,0.09090909090909091,0.00014146272457207527,0.0002824858757062147,0.5003086104563984,0.13958562346343995,0.4999562284195604
lifestyle,logreg,0.23489343919765984,0.795161974819635,0.3626568598987064,0.7507377049294509,0.30331936174784063,0.6879375495734651
lifestyle,random_forest,0.26741682294922553,0.5446314896024897,0.3587067921364018,0.725740624033684,0.2780900473597871,0.6515494911085249
lifestyle,xgboost,0.2759639930135698,0.5811288725420851,0.3742199954452289,0.7453408875708969,0.29627873711125463,0.6671531646013606
lifestyle,lightgbm,0.2718093446221386,0.6130994482953742,0.37664030590075603,0.7482641255075616,0.2985495876622411,0.6736003573489604
lifestyle,knn,0.28884111784248584,0.20908190691752723,0.24257344493681274,0.5896038169997351,0.19007979838691824,0.5628733326009075
combined_all,logreg,0.261809108977883,0.8757957278257179,0.40311238442505537,0.8190399672221923,0.3903358521133807,0.7380215270910027
combined_all,random_forest,0.34558989397699075,0.6501626821332579,0.4512961508248233,0.8093258236162331,0.386030878137467,0.7254294300125148
combined_all,xgboost,0.35719271035284994,0.6515773093789786,0.46143057503506313,0.8240978127838692,0.4099384159917019,0.7308771654642162
combined_all,lightgbm,0.35428098925054496,0.6667138209081906,0.46269389357942275,0.8250932902561675,0.4143442127197292,0.7349988826527809
combined_all,knn,0.27851666405883274,0.7554109492148818,0.4069811752153037,0.7669608751397875,0.299277625678488,0.7193135539350797
hybrid_mi,logreg,0.25746781652293466,0.8742396378554251,0.39778578784757984,0.8142646130059864,0.38334762871045763,0.7330412241078257
hybrid_mi,random_forest,0.3253397850992671,0.646767576743528,0.4329135498532336,0.792053821676554,0.35664157752682546,0.7148235483735961
hybrid_mi,xgboost,0.3480583985550873,0.654265101145848,0.4543891536080955,0.8178349019048641,0.4040894593203829,0.7279386512897124
hybrid_mi,lightgbm,0.34009614025166124,0.6805771679162541,0.45354701861890173,0.8197574579845228,0.4062770309902076,0.7334000869237532
hybrid_mi,knn,0.28583150984682715,0.7391427358890932,0.41224505897668545,0.7660950699419253,0.2997860921845786,0.7200877762162392
hybrid_rfe,logreg,0.2617407109946316,0.87593719055029,0.4030462800234329,0.8187849070174067,0.3895750268045939,0.7379892058048356
hybrid_rfe,random_forest,0.325414644745419,0.6355920215023342,0.4304464456792489,0.7870031566431712,0.34882186750452904,0.7111479698965171
hybrid_rfe,xgboost,0.3510843731431967,0.6686942990521998,0.46042955242779915,0.8226647166945643,0.41181857392123,0.7343059284667186
hybrid_rfe,lightgbm,0.34229641011314427,0.6933088131277408,0.4583157993173423,0.8239847968082028,0.41302383058396597,0.7388269853991465
hybrid_rfe,knn,0.3104903151569392,0.6870844532465695,0.42770341669601974,0.7674891598724556,0.310953633036398,0.7200393525994224
