group,model,precision,recall,f1,roc_auc,pr_auc,balanced_accuracy
biological,logreg,0.26092770195499815,0.8005375583533739,0.3935737385680008,0.7858598263754414,0.3404373771918786,0.7167320122817777
biological,random_forest,0.3195412637733303,0.6030555948507568,0.4177364037236649,0.7737340360115496,0.33903915745560675,0.6975820260190533
biological,xgboost,0.3183763732344129,0.6313481397651719,0.4232939725897472,0.7887073780127455,0.3631822072594405,0.7062665081082484
biological,lightgbm,0.3157639562266242,0.6449285613240912,0.42395499139814946,0.7903177746764996,0.36451838509955947,0.7093468235433976
biological,knn,0.3802922442862495,0.2871693308813128,0.3272346256145724,0.6332813119473433,0.23666295556321384,0.6057070919870187
socioeconomic,logreg,0.19833014599561546,0.601499504880464,0.298302230952715,0.6383727503301998,0.2165542463857513,0.6039535447776951
socioeconomic,random_forest,0.18741622644484743,0.6725137926156458,0.2931401264066595,0.6364282946921078,0.2164917494101337,0.6002434307617583
socioeconomic,xgboost,0.18747289999605818,0.6727967180647899,0.2932363277637339,0.6366441203477533,0.216437248711417,0.6003734431920579
socioeconomic,lightgbm,0.18740387269787434,0.6722308671665016,0.29309813112934063,0.6366346672543349,0.21648637453579694,0.6001821200970943
socioeconomic,knn,0.21428571428571427,0.0004243881737162258,0.0008470986869970351,0.5003221454201756,0.13946981673359118,0.5000862408498599
lifestyle,logreg,0.17537141438854023,0.6996746357334842,0.28044908142435926,0.6165350792067343,0.19081485184077468,0.583537823969749
lifestyle,random_forest,0.17537141438854023,0.6996746357334842,0.28044908142435926,0.6170297371026365,0.19190085663516732,0.583537823969749
lifestyle,xgboost,0.17537141438854023,0.6996746357334842,0.28044908142435926,0.6170297371026365,0.19190085663516732,0.583537823969749
lifestyle,lightgbm,0.17537141438854023,0.6996746357334842,0.28044908142435926,0.6170301258521944,0.1919009047749335,0.583537823969749
lifestyle,knn,0.0,0.0,0.0,0.5,0.13932907600126143,0.5
combined_all,logreg,0.26934015927189986,0.8037912010185316,0.4034794958281555,0.7953222578821832,0.35258098566907925,0.7254007645919827
combined_all,random_forest,0.3153038046564452,0.6283774225491583,0.4199083045800444,0.7790565374129351,0.33318942716723576,0.7037391727214384
combined_all,xgboost,0.32811833309628785,0.6527090111755552,0.43670436799015666,0.7990809931292953,0.377186344042005,0.7181721253006043
combined_all,lightgbm,0.3213401992911121,0.6797283915688216,0.4363818000181637,0.8010483007622378,0.37738070408122965,0.7236666095064435
combined_all,knn,0.27330980179201736,0.7119818927712548,0.3949929367446241,0.7487153471195178,0.2801326258109972,0.702763108430192
hybrid_mi,logreg,0.2654154247391952,0.8061960673362569,0.39935531340878033,0.7940520932117904,0.35117293619226564,0.7224925421069953
hybrid_mi,random_forest,0.30830945558739253,0.6088555665582119,0.4093394835703077,0.7660347813646406,0.3227551091662453,0.6938637417832395
hybrid_mi,xgboost,0.32507102272727273,0.6474748903663885,0.43283370372121616,0.7956664810376728,0.3733981901450192,0.7149252987110299
hybrid_mi,lightgbm,0.3187328377201795,0.6732211062385062,0.43263636363636365,0.7985262215934097,0.37612951510648807,0.7201381597787442
hybrid_mi,knn,0.29454660748256184,0.6570943556372896,0.40676036604054466,0.7426893159243031,0.2846110945092496,0.7011626540363836
hybrid_rfe,logreg,0.26927437641723356,0.806337530060829,0.4037256082445019,0.7958870219014988,0.3542871839388969,0.726055613222413
hybrid_rfe,random_forest,0.30858618463524856,0.6085726411090677,0.4095192765349833,0.7667873826912169,0.32707845392459134,0.693916934061301
hybrid_rfe,xgboost,0.32897727272727273,0.6552553402178526,0.4380348952669157,0.799108404832503,0.37769832730623343,0.7194452898217529
hybrid_rfe,lightgbm,0.3249200625892918,0.6756259725562315,0.4388092613009923,0.8007674988575542,0.38001671917556734,0.724191716211475
hybrid_rfe,knn,0.30864024646408067,0.6235676899137077,0.41290806051238815,0.7358874118820972,0.28728715722394627,0.6987236393095687
