group,model,precision,recall,f1,roc_auc,pr_auc,balanced_accuracy
biological,logreg,0.27960889449613624,0.7524402319988683,0.40771117583933775,0.787300187222111,0.3483001733617951,0.7193052832882335
biological,random_forest,0.4089739925693055,0.20243315886263968,0.27081756245268734,0.7586986074663635,0.32813141629216036,0.5775373708756599
biological,xgboost,0.46562082777036046,0.197340500778045,0.27719821162444114,0.7904260754439852,0.3645567938408818,0.5803383292586495
biological,lightgbm,0.44887845592070946,0.24345734898854152,0.3156929285517747,0.7925506662887201,0.3680841734840214,0.5975342026963455
biological,knn,0.36708189769414257,0.19592587353232424,0.25548791735842097,0.6894699646956765,0.25248451883136186,0.5706196340432821
socioeconomic,logreg,0.21452908250182526,0.49879756684113735,0.3000212720697724,0.6412062745876199,0.21967525342152308,0.6015754843617829
socioeconomic,random_forest,0.4206896551724138,0.00862922619889659,0.016911560853895204,0.5982370473190789,0.20102385717939225,0.503352788380553
socioeconomic,xgboost,0.41216216216216217,0.00862922619889659,0.016904530968546487,0.5982957193461181,0.20104760569060565,0.5033184374977353
socioeconomic,lightgbm,0.4318181818181818,0.00806337530060829,0.0158311345646438,0.5983300459320885,0.2000095715768662,0.5031729155798619
socioeconomic,knn,0.28269617706237427,0.039751025604753146,0.06970110380751582,0.5592128343670988,0.16307846577816615,0.5117114529860393
lifestyle,logreg,0.24674159425765016,0.7391427358890932,0.3699769870773588,0.7461635885417273,0.302776141502742,0.6869277240028973
lifestyle,random_forest,0.3160453808752026,0.08275569387466403,0.1311659192825112,0.6846824620557835,0.24431119810242596,0.5268817743882676
lifestyle,xgboost,0.39322033898305087,0.03281935210072146,0.06058232145188667,0.7241212440155609,0.26961680040110747,0.5123104707007833
lifestyle,lightgbm,0.39594843462246776,0.03041448578299618,0.05648975302154493,0.731145114336639,0.27729935385126797,0.5114515463700975
lifestyle,knn,0.31295843520782396,0.12675060121657944,0.18042690293999195,0.654590259375098,0.21490001555639016,0.5408525717741587
combined_all,logreg,0.30412371134020616,0.776205969726977,0.43701963283023376,0.8166277276211837,0.3910497147902148,0.7443445402714625
combined_all,random_forest,0.4472573839662447,0.1949356344603197,0.2715270935960591,0.790782955637167,0.3529515984709455,0.5779679660839854
combined_all,xgboost,0.5414902624894158,0.18093082472768426,0.27123316721450536,0.823979438543462,0.41663042023695307,0.5780647436666566
combined_all,lightgbm,0.5285885645741704,0.1870137218842835,0.27628004179728316,0.8232079731445846,0.4155062126393169,0.5800069639947902
combined_all,knn,0.2989820812652477,0.5027585231291555,0.37497362312724203,0.7212644822533121,0.26583313506245093,0.6559639593913119
hybrid_mi,logreg,0.2989555421884399,0.7733767152355354,0.4312194352421518,0.8124818383090616,0.3846162289957114,0.7398955850435125
hybrid_mi,random_forest,0.37049816691826615,0.24303296081482528,0.2935246881940885,0.7562112209560061,0.3068222895000171,0.5880930714258018
hybrid_mi,xgboost,0.5338208409506399,0.1652284623001839,0.2523495732958842,0.8171007402656552,0.4048215472537919,0.5709349309920779
hybrid_mi,lightgbm,0.5158578525028659,0.1909746781723016,0.2787528391492876,0.8169622174596155,0.4044157235465352,0.5809798162428137
hybrid_mi,knn,0.3083732555717559,0.4188711274579148,0.35522764081338853,0.7134418222987997,0.26408619689802415,0.6333941594648679
hybrid_rfe,logreg,0.3036885923802172,0.7791766869429905,0.4370388002856463,0.8165750034623818,0.390545499711146,0.7449825771032996
hybrid_rfe,random_forest,0.3757696127110228,0.2676474748903664,0.3126239259748843,0.7541908733052459,0.3156189571737378,0.5978354625465183
hybrid_rfe,xgboost,0.49934980494148246,0.2172867449427076,0.3028092656481025,0.8193676280267219,0.40708189075565143,0.5910099192916071
hybrid_rfe,lightgbm,0.4838625715773035,0.2629792049794879,0.34075703418568415,0.8194971577596535,0.40698729041209314,0.6087836689472519
hybrid_rfe,knn,0.33402922755741127,0.40741264676757677,0.36708941431393793,0.726415878776329,0.2796396403049592,0.6379587336707327
