group,model,precision,recall,f1,roc_auc,pr_auc,balanced_accuracy
biological,logreg,0.27960889449613624,0.7524402319988683,0.40771117583933775,0.787300187222111,0.3483001733617951,0.7193052832882335
biological,random_forest,0.4089739925693055,0.20243315886263968,0.27081756245268734,0.758698622044472,0.32812760945218206,0.5775373708756599
biological,xgboost,0.46562082777036046,0.197340500778045,0.27719821162444114,0.7904260754439852,0.3645567938408818,0.5803383292586495
biological,lightgbm,0.44887845592070946,0.24345734898854152,0.3156929285517747,0.7925506662887201,0.3680841734840214,0.5975342026963455
biological,knn,0.36708189769414257,0.19592587353232424,0.25548791735842097,0.6894699646956765,0.25248451883136186,0.5706196340432821
socioeconomic,logreg,0.21452908250182526,0.49879756684113735,0.3000212720697724,0.6412062745876199,0.21967525342152308,0.6015754843617829
socioeconomic,random_forest,0.4206896551724138,0.00862922619889659,0.016911560853895204,0.5982370473190789,0.20102385717939225,0.503352788380553
socioeconomic,xgboost,0.41216216216216217,0.00862922619889659,0.016904530968546487,0.5982957193461181,0.20104760569060565,0.5033184374977353
socioeconomic,lightgbm,0.4318181818181818,0.00806337530060829,0.0158311345646438,0.5983300459320885,0.2000095715768662,0.5031729155798619
socioeconomic,knn,0.28269617706237427,0.039751025604753146,0.06970110380751582,0.5592128343670988,0.16307846577816615,0.5117114529860393
lifestyle,logreg,0.19692923898531375,0.5007780449851464,0.2826911559193452,0.6182314510748169,0.19209444035693496,0.5850925743738566
lifestyle,random_forest,0.0,0.0,0.0,0.58379375886104,0.1763924423971654,0.5
lifestyle,xgboost,0.0,0.0,0.0,0.5837886370856136,0.1763917816052554,0.5
lifestyle,lightgbm,0.0,0.0,0.0,0.5837886370856136,0.1763917816052554,0.5
lifestyle,knn,0.21223814773980154,0.054463148960248974,0.08668242710795902,0.5154142309738589,0.1453441226077486,0.5108691039646323
combined_all,logreg,0.28657389996239185,0.7545621728674494,0.4153882096409937,0.7978738836372081,0.36378716184787985,0.7252326287883633
combined_all,random_forest,0.3824884792626728,0.21134531051068042,0.27225512528473805,0.7526613349297636,0.30690083556288483,0.5780545454699187
combined_all,xgboost,0.5096706743335075,0.13792615645777337,0.21710086840347362,0.8047745462650411,0.38540730117898764,0.5582227022012227
combined_all,lightgbm,0.5056232427366448,0.1526382798132692,0.23448875366728242,0.8047174956476166,0.38675006131849476,0.5642390794490808
combined_all,knn,0.31146288209606987,0.4035931532041307,0.35159282765419925,0.7059963287852367,0.25618401832035176,0.6295795706250118
hybrid_mi,logreg,0.28058426492301203,0.7527231574480124,0.4087888449275919,0.7915639713168524,0.3540683698839165,0.7201452139634319
hybrid_mi,random_forest,0.3450781766130808,0.22167208940444194,0.2699397071490095,0.7286302043575761,0.2809856953292017,0.5767828695356192
hybrid_mi,xgboost,0.5086206896551724,0.1251945112462866,0.20093086615960948,0.7973059934235301,0.3724793209241202,0.5528072540201021
hybrid_mi,lightgbm,0.49244851258581235,0.15221389163955298,0.2325480873135941,0.7976661196755213,0.37432950168667933,0.5634085694715043
hybrid_mi,knn,0.30785920925747345,0.3612957985570802,0.33244386592905956,0.6977795124143008,0.24902296361543338,0.6149003095654845
hybrid_rfe,logreg,0.2863819500402901,0.7541377846937332,0.41512225510045164,0.7970540334964696,0.36148191735625346,0.7249631832301423
hybrid_rfe,random_forest,0.3439325113562622,0.22492573206959965,0.27198084160109476,0.7210475340833178,0.28389073032228335,0.5777341235061169
hybrid_rfe,xgboost,0.5113687026304057,0.16225774508417032,0.24634879725085912,0.801499698931285,0.3808429443924195,0.5685793500193563
hybrid_rfe,lightgbm,0.4823848238482385,0.20144291979063517,0.28420317333599443,0.8024874192301117,0.3818717407215615,0.5832254102468416
hybrid_rfe,knn,0.33608490566037735,0.3225350120243316,0.32917057677037465,0.7029229492901178,0.2587894169607688,0.6096953806085429
